Title,Genre,Tags,Languages,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,Summary,Series or Movie,IMDb Votes,Image
Fireflies in the Garden,Drama,"Independent Dramas,Dramas,Independent Films,Tearjerkers",English,"Hungary,Czech Republic,Slovakia,Romania",1-2 hour,Dennis Lee,"Robert Frost, Dennis Lee","Willem Dafoe, Emily Watson, Ryan Reynolds, Carrie-Anne Moss",R,6.5,,1,"$70,600",17-Jul-08,14-04-2015,Senator Entertainment,https://www.netflix.com/watch/70115897,"In the wake of a family tragedy, a novelist confronts his fractured relationship with his father while dealing with painful memories of his mother.",Movie,12458,https://occ-0-138-2774.1.nflxso.net/art/4e716/81db414f183c360fa3b8eedb4369db1f9ed4e716.jpg
Free Willy,"Adventure, Drama, Family","Dramas,Family Adventures,Family Features,Children & Family Films,Films for ages 8 to 10,Animal Tales,Family Dramas,Films for ages 5 to 7",English,"France,Switzerland,Belgium,United Kingdom,Hungary,Czech Republic,Israel,Italy,Poland,Greece,Slovakia,Sweden,Romania",1-2 hour,Simon Wincer,"Corey Blechman, Keith Walker","Lori Petty, Jayne Atkinson, August Schellenberg, Jason James Richter",PG,6,7,2,"$7,76,98,625",16-Jul-93,14-04-2015,Alcor Films,https://www.netflix.com/watch/523650,"Ordered to clean up the graffiti he painted at a marine theme park, a troubled young boy unexpectedly bonds with a killer whale on exhibit.",Movie,69310,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbcp_cJzFe0tTnjwZL3RpWOZTgW1Rb9znZy_IxZClraMlOFTKQR_9vhIiRruxbtpPHIdiWe1HwQTFdjNu58JnSWocg.jpg?r=a24
Fated to Love You,"Comedy, Romance","TV Comedies,TV Dramas,TV Programmes,Romantic TV Comedies,Korean TV Shows",Korean,"Hong Kong,France,Russia,India,Lithuania,United Kingdom,Switzerland,South Africa,Belgium,Romania,Thailand,Japan,Hungary,Portugal,Iceland,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,Singapore,Greece,Slovakia,Malaysia,Sweden,Turkey",< 30 minutes,,,"Choi Jin-Hyuk, Jang Hyuk, Dae-chul Choi, Jang Na-ra",TV-14,7.9,1,8,,02-Jul-14,14-04-2015,,https://www.netflix.com/watch/80029197,A wealthy business heir marries an ordinary office worker after they have a one-night stand that leads to her unexpectedly becoming pregnant.,Series,1811,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUzD00sj4Pl8p-0UdTc66byeTWoraya5RU-Py9iJmhmj7hlL9Vmf47Clfnvr1dEibudPFhN9xZWfyXI8cI9sltSYkw.jpg?r=3b4
From Paris with Love,"Action, Crime, Thriller","Crime Films,Crime Action,Action,International Movies,Action Thrillers,French Films,Action & Adventure,Spy Action & Adventure,International Action & Adventure","English, French, Mandarin, German","United States,Canada,Sweden",1-2 hour,Pierre Morel,"Luc Besson, Adi Hasak","John Travolta, Richard Durden, Kasia Smutniak, Jonathan Rhys Meyers",R,6.5,,,"$2,40,77,427",05-Feb-10,14-04-2015,EuropaCorp,https://www.netflix.com/watch/70117322,A low-level intelligence agent gets pulled into action and espionage above his pay grade when hes ordered to assist a trigger-happy senior agent.,Movie,112444,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUkS1R74FT7xPQJu4wyCZ0Iz7fs-k9YOX-LL5XE1dCaG6S5FRRupuVEEhUcWd_p0vU_KYGuyMG9QT27KlSUfx159xA.jpg?r=fd8
Friends with Money,"Comedy, Drama, Romance","Independent Dramas,Dramas,Romantic Dramas,Independent Films,Romantic Independent Films,Romantic Comedies,Independent Comedies,Comedies,Romantic Films","English, Spanish","India,United Kingdom,Hong Kong,Switzerland,Russia,South Africa,Thailand,Mexico,Portugal,Belgium,Lithuania,France,Hungary,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Poland,Singapore,Argentina,Greece,Malaysia,Slovakia,Turkey,Colombia,Romania",1-2 hour,Nicole Holofcener,Nicole Holofcener,"Jason Isaacs, Joan Cusack, Timm Sharp, Catherine Keener",R,5.7,2,2,"$1,33,68,437",21-Apr-06,14-04-2015,,https://www.netflix.com/watch/70043945,"As four Los Angeles friends -- three married, one single -- move from one group event to the next, financial differences begin to take their toll.",Movie,27786,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXXJL_iPLteWPQU3GrDAVEtzkLyMGnYWlZOa8n1jcRE-FQdcWpEQr5ATM10cOo7uIU971UAxrm4vHKoNEIm5ZU27Rg.jpg?r=e95
Fair Game,"Biography, Drama, Thriller","Dramas,Thrillers,Political Dramas,Political Thrillers,Dramas based on a book,Dramas based on real life,Movies Based on Real Life,Movies Based on Books","English, Arabic, French",Germany,1-2 hour,Doug Liman,"Jez Butterworth, Valerie Plame Wilson, Joseph Wilson, John-Henry Butterworth","Vanessa Chong, Sonya Davison, Anand Tiwari, Naomi Watts",PG-13,6.8,4,8,"$95,40,691",03-Dec-10,14-04-2015,"Zucker Productions, River Road, Hypnotic, Weed Road Pictures",https://www.netflix.com/watch/70119704,"Valerie Plame finds her life, career and marriage in jeopardy when her own government leaks her status as a CIA operative in a political vendetta.",Movie,46899,https://occ-0-2042-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRqc3XjOvpXt9cB-jZXqPsizYUlD-WbOcActGz1FPJ2--1OXsO5nv2LAv9_NOQet56BL6ACixeySmTCjnZDK1y1b6Q.jpg?r=92d
Pulp Fiction,"Crime, Drama","Independent Dramas,Dramas,Independent Films,Thrillers,Gangster Films,Film Noir,Police Thrillers,Police Dramas,Police Movies,Crime Thrillers,Crime Dramas,Independent Thrillers,Classic Dramas,Classic Movies,Crime Movies","English, Spanish, French",Canada,> 2 hrs,Quentin Tarantino,"Roger Avary, Quentin Tarantino","John Travolta, Amanda Plummer, Laura Lovelace, Tim Roth",R,8.9,70,75,"$10,79,28,762",14-Oct-94,14-04-2015,"Miramax Films, A Band Apart, Jersey Films",https://www.netflix.com/watch/880640,"Quentin Tarantinos stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.",Movie,1831004,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa9-erQzokCNXZhUiHnse_lbCuaScAlkRMU3eqfuDy7_LDrrazXsD1fr-CzKpsRwtl05SAI7WHPR43EXt4pooaS5ig.jpg?r=559
The Fairly OddParents,"Animation, Adventure, Comedy, Family, Fantasy","Kids TV,TV Cartoons,TV Programmes",English,Israel,< 30 minutes,,Butch Hartman,"Carlos Alazraqui, Susanne Blakeslee, Daran Norris, Tara Strong",TV-Y7,7.2,16,48,,30-Mar-01,14-04-2015,,https://www.netflix.com/watch/70142394,"Anythings bound to happen when youve got fairy godparents, as 10-year-old Timmy Turner discovers when he wishes for cool parents.",Series,33949,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfvuimhRZ_KI4eNbymXjH6t_4TbswVFnfklKzBG8oZB1h3mda9jsCKLYiGnuMjHgxYLVSuhv9wYn3Qs_2YlVVMNI5Q.jpg?r=65c
Fired Up,"Comedy, Sport","Romantic Comedies,Sports Comedies,Comedies,Romantic Films,Sports Films",English,"South Africa,United Kingdom",1-2 hour,Will Gluck,Will Gluck,"Eric Christian Olsen, Nicholas D'Agosto, Molly Sims, Sarah Roemer",PG-13,6.1,1,,"$1,72,31,291",20-Feb-09,14-04-2015,"Screen Gems, Weinstock Productions, Moving Pictures",https://www.netflix.com/watch/70112444,"After maxing out their starring roles playing American football, two high school boys ditch training camp and volunteer to help the cheerleading squad.",Movie,42110,https://occ-0-64-58.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABfr0DNNfK8EEsF5idltbo83WL1ZQ1-bd5jzeb5bFVT2HAlL7P7yNvuIadbj19To-vxvQY9685eSkvMgBON5JSVbZIbgCsAw.jpg?r=69b
Transformers Prime,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi","Kids TV,TV Cartoons,TV Programmes",English,"Mexico,Argentina,Belgium,Switzerland,Portugal,Greece,South Korea,Iceland,Romania,South Africa,United Kingdom,Canada,Hong Kong,Germany,France,Australia,Singapore,Poland,Czech Republic,Russia,Hungary,India,Slovakia,Lithuania,Spain,Sweden,Thailand,Turkey,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,,"Peter Cullen, Sumalee Montano, Jeffrey Combs, Frank Welker",TV-Y7,7.9,14,26,,26-Nov-10,14-04-2015,,https://www.netflix.com/watch/70234439,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.",Series,5454,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR4F65PTWalaGgpsm-_I8A30pknfTnULhxhBlgnopq6wDTnm38wHp45WmKKji4ZjYRBkgf9py4bPOAWvj-NMG4F66w.jpg?r=593
My Little Pony: Friendship Is Magic,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical, Sci-Fi","Kids TV,Animal Tales,TV Cartoons,TV Programmes",English,"Brazil,United States,Canada,Mexico,Argentina,United Kingdom,Belgium,Switzerland,Spain,Portugal,Greece,South Korea,Lithuania,Israel,Hong Kong,Iceland,Romania,South Africa,Australia,France,Czech Republic,Russia,Netherlands,Poland,Singapore,Sweden,Hungary,India,Slovakia,Germany,Japan,Italy,Thailand,Turkey,Malaysia,Colombia",< 30 minutes,,"Lauren Faust, Bonnie Zacherle","Tabitha St. Germain, Ashleigh Ball, Andrea Libman, Tara Strong",TV-Y,7.6,21,47,,10-Oct-10,14-04-2015,,https://www.netflix.com/watch/70234440,"Journey to the enchanted land of Equestria, where unicorn Twilight Sparkle and her pals have adventures and learn valuable lessons about friendship.",Series,19044,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVm_vaBKHtq7_B8XTXQ6L-REh7y2riC90VUCXlABb672XclBDP4-029p1Y7JqvweK-OBC5HOJx3MEktgEDFzUnUzBQ.jpg?r=2be
Special Forces,"Action, Drama, War","International Movies,Military Action & Adventure,Action Thrillers,French Films,International Action & Adventure,Action & Adventure","French, English",Italy,1-2 hour,Stéphane Rybojad,"Stéphane Rybojad, Emmanuelle Collomp, Michael Cooper","Diane Kruger, Denis Ménochet, Benoît Magimel, Djimon Hounsou",R,6.4,,1,"$10,759",02-Nov-11,14-04-2015,"TPS Star, StudioCanal, Banque Postale Image 4, Easy Company, A Plus Image 2, Canal+",https://www.netflix.com/watch/70259466,"While covering the war in Afghanistan, journalist Elsa is kidnapped by the Taliban, and a Special Forces team races against time to rescue her.",Movie,17912,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbXn7eQ_KcR2B6rZbl0lsQZiL__8Omufl9TGIQrkGyDilhRVAPUMGOV1M7Nv9PMJjLKFvnJPSWqJFoFwIofl7gO0lg.jpg?r=467
Fireproof,"Drama, Fantasy, Romance","Dramas,Romantic Dramas,Faith & Spirituality,Faith & Spirituality Films,Romantic Films",English,"Mexico,Argentina,Brazil,Colombia",1-2 hour,Alex Kendrick,"Alex Kendrick, Stephen Kendrick","Stephen Dervan, Erin Bethea, Ken Bevel, Kirk Cameron",PG,6.5,1,,"$3,34,56,317",26-Sep-08,14-04-2015,,https://www.netflix.com/watch/70106271,"A dedicated firefighters marriage is about to end in divorce, but just when hope seems to be running out, his Christian father intervenes.",Movie,21384,https://occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ6kXjtsDQfiNnaLXybpjftBWJHbS4wWmOsB9AFacxMyrgvdY6xUJ99QumTmYTWh3eqpUzSunyx8uMpWOAtxo5XAUA.jpg?r=d55
The Fall,"Crime, Drama, Thriller","TV Dramas,TV Programmes,British TV Programmes,Police TV Shows,Crime TV Dramas,TV Thrillers",English,"United Kingdom,Belgium,Switzerland,Netherlands,Germany",< 30 minutes,,Allan Cubitt,"Gillian Anderson, Jamie Dornan, John Lynch, Aisling Franciosi",TV-MA,8.2,8,20,,12-May-13,14-04-2015,,https://www.netflix.com/watch/70272726,"When the Belfast police are stalled in their investigation of a spate of murders, Detective Superintendent Stella Gibson is drafted to investigate.",Series,83814,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVDHjewkGeR7FqSoviZ2p8hMlpKYzATBAsEeAKHbo0uV-DfJ-sHy4Fyh5lHDG4j5c6ViaTBrii3IU-LOJgBZ6GaQ5A.jpg?r=e1b
Fate/Zero,"Animation, Action, Drama, Fantasy, Thriller","Anime,Anime Fantasies,TV Programmes,Anime Series,Anime Action Films,Japanese TV Shows,Sci-Fi & Fantasy Anime,Anime based on a Video Game","English, Japanese","Japan,Hong Kong,South Africa,Singapore,India,Romania,France,Portugal,Poland,Russia,Sweden,Lithuania,Slovakia,Czech Republic,Spain,United Kingdom,Belgium,Iceland,Argentina,Canada,United States,Mexico,Thailand,Hungary,Turkey,Germany,Switzerland,Greece,South Korea,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,,"Kari Wahlgren, Ayako Kawasumi, Jôji Nakata, Sayaka Ôhara",TV-MA,8.3,2,4,,01-Oct-11,14-04-2015,,https://www.netflix.com/watch/70304256,"After three unsettled battles for the mystical Holy Grail, an artifact that grants a miracle to those who hold it, a fourth war begins.",Series,10263,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUAWfOiBhh89P7kYkSwUI9XNz8SV3rFrEQOYZ3H-m7W9P5z7IdPyAqjxDiV7-7TwFBAjvhCyDsy0PPa8H8BQxjQP9Q.jpg?r=504
Friends,"Comedy, Romance","TV Comedies,US TV Programmes,TV Programmes,Sitcoms","English, Dutch, Italian, French","France,Belgium,Switzerland,Hong Kong,Lithuania,United Kingdom,Russia,South Korea,South Africa,India,Thailand,Japan,Netherlands,Israel,Italy,Australia,Singapore,Greece,Malaysia,Germany",< 30 minutes,,"Marta Kauffman, David Crane","Courteney Cox, Lisa Kudrow, Jennifer Aniston, Matt LeBlanc",TV-PG,8.9,77,220,,22-Sep-94,14-04-2015,,https://www.netflix.com/watch/70153404,"This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan.",Series,828187,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVAYXGRAq-Dv3Az7MQmuWo_gy6qJCDVSJ_ADixA8Sdl8dJCk21BeIGfrh9f3aor54t8lFlVs_64b9frerPNUpqtejQ.jpg?r=a86
Shoot Em Up,"Action, Thriller","Action Thrillers,Police Action & Adventure,Action & Adventure,Crime Action & Adventure,Police Movies","English, Italian",United Kingdom,1-2 hour,Michael Davis,Michael Davis,"Stephen McHattie, Paul Giamatti, Monica Bellucci, Clive Owen",R,6.7,,3,"$1,28,07,139",07-Sep-07,14-04-2015,New Line Cinema,https://www.netflix.com/watch/70065113,"When a mysterious loner delivers a womans baby during an intense shoot-out, he inadvertently runs afoul of the ruthless Mr. Hertz.",Movie,144439,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAAAdfQ92mXi9DAmfnU6DbDWdPMUK7VXYMA3lyzP5cGSs7k_G3j3PWZHqtrg0twqh0jllCWm-T0uuVy4j9p_RYAHmT3yA0VoIc.jpg?r=93f
Whats Eating Gilbert Grape,Drama,"Independent Dramas,Dramas,Romantic Dramas,Independent Films,Romantic Independent Films,Romantic Favourites,Dramas based on a book,Tearjerkers,Romantic Films,Dramas based on contemporary literature",English,United States,1-2 hour,Lasse Hallström,Peter Hedges,"Mary Steenburgen, Leonardo DiCaprio, Johnny Depp, Juliette Lewis",PG-13,7.8,8,7,"$1,00,32,765",04-Mar-94,14-04-2015,"Paramount Pictures, J&amp;M Entertainment",https://www.netflix.com/watch/60011552,"In a backwater Iowa town, young Gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life.",Movie,215692,https://occ-0-2042-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABavSuy2aZVuTIv7Kw-tGb8eSyyBQZfiH5IxM5nvHfFuIocRREoMISKGjO9YjS8eguBzAZ7gnbe379spw5z5l-FnGmg.jpg?r=cec
Girl with a Pearl Earring,"Biography, Drama, Romance","Dramas,Romantic Dramas,Period Pieces,Dramas based on a book,Romantic Films,Dramas based on contemporary literature",English,South Korea,1-2 hour,Peter Webber,"Tracy Chevalier, Olivia Hetreed","Colin Firth, Scarlett Johansson, Judy Parfitt, Tom Wilkinson",PG-13,6.9,17,46,"$1,16,70,971",30-Jan-04,14-04-2015,Archer Street Productions,https://www.netflix.com/watch/60031282,"In this adaptation of the best-selling novel, a young housemaid with a hidden appreciation for art becomes the muse of Dutch master painter Vermeer.",Movie,72488,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTKJx8H9q7zdUArYeBGPv3jln7fyafK_aF9CQGbz56mCyBrQ3hcDhDhGKxKy_PLbeT5ncxLN8lCwLcu6R7GRl0SIXg.jpg?r=2fa
Even the Rain,"Drama, History","Dramas,International Dramas,Showbiz Dramas,Spanish Films,International Movies,Political Dramas,Social Issue Dramas","Spanish, Quechua, English","United States,Canada",1-2 hour,Icíar Bollaín,Paul Laverty,"Juan Carlos Aduviri, Gael García Bernal, Luis Tosar, Karra Elejalde",NotRated,7.4,21,17,"$5,18,017",05-Jan-11,14-04-2015,"Morena Films S.L., Vaca Films",https://www.netflix.com/watch/70154110,"While making a film about the incursion of Christopher Columbus in the New World, a director finds the Bolivian locals protesting modern exploitation.",Movie,12778,https://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdDTWIJ-_arpKKSnxL4Tm87vxo3qMNktzQajIYCTsa93xNhRXhEOpEptZbPT6RHHieZcfuFV3pfMyNXcPnyLbnIfuA.jpg?r=d35
"See No Evil, Hear No Evil","Comedy, Crime","Action Comedies,Police Action & Adventure,Comedies,Action & Adventure,Police Movies,Crime Action & Adventure,Late Night Comedies,Crime Comedies,Crime Films",English,"Mexico,United Kingdom,Brazil,Argentina,Greece,Colombia",1-2 hour,Arthur Hiller,"Eliot Wald, Earl Barret, Arne Sultan, Marvin Worth, Andrew Kurtzman, Gene Wilder","Richard Pryor, Joan Severance, Kevin Spacey, Gene Wilder",R,6.9,,,"$4,69,08,987",12-May-89,14-04-2015,TriStar Pictures,https://www.netflix.com/watch/60021226,"Wally is blind, and Dave is deaf. But when a man is murdered outside the newsstand where they work, the police collar the unlikely duo.",Movie,48866,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVljtMHuED6XJdPs3sqGbxvdpyFoO5s8wPPgHItGbzSPd4xLZCNKJ_ELn5OJP0vtCnWGmVw1usOCBomhRq60iU-saA.jpg?r=27f
E-Team,Documentary,"Political Documentaries,Social & Cultural Documentaries,Documentaries,Documentaries","English, German, Arabic, Russian, French","Belgium,Switzerland,Brazil,United States,Canada,Australia,Germany,Mexico,Argentina,Sweden,France,United Kingdom,Netherlands,Spain,Portugal,India,Russia,Greece,Slovakia,Singapore,Poland,Czech Republic,Lithuania,Iceland,Hungary,Romania,South Africa,South Korea,Hong Kong,Japan,Israel,Italy,Thailand,Turkey,Malaysia,Colombia",1-2 hour,"Katy Chevigny, Ross Kauffman",,"Fred Abrahams, Anna Neistat, Peter Bouckaert, Ole Solvang",,7.1,5,5,,22-Oct-14,14-04-2015,,https://www.netflix.com/watch/70299286,The courageous investigators of Human Rights Watchs Emergencies Team risk their lives to document unlawful attacks on civilians by brutal dictators.,Movie,803,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeI_0p0Ko83Qrye3nb-gqyLukYbNkaySmAYaPaKDiwdbaYeRxXpDHIqhx68TysTO0bAC_quAQqdFogkRNj3uWQqDffoD4PABNi7rsMaKfsZSu8xQW0pdCusE78M.jpg?r=7f7
Neighbor For Sale,Drama,"Independent Dramas,Dramas,Independent Films,Independent Comedies,Dramas based on a book,Comedies",English,India,1-2 hour,Dan Rush,"Raymond Carver, Dan Rush","Will Ferrell, Rebecca Hall, Michael Peña, Christopher Jordan Wallace",R,6.4,,1,"$27,11,643",14-Oct-11,14-04-2015,Temple Hill,https://www.netflix.com/watch/70140909,"Hoping to let go of his baggage and make a new start after losing his wife and his job, a sad-sack alcoholic sells all his belongings in a yard sale.",Movie,48030,https://occ-0-2042-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQmSRZiqnfFEfb3gYSQHBcjpFzd0KK4A-fMmfkA-_EfT-_g2_8Iy0e8aeEGyxUhcKAy7FROQ_I46pHd5VpaCaTDINg.jpg?r=c99
The Expendables,"Action, Adventure, Thriller","Action Thrillers,Military Action & Adventure,Action & Adventure,Adventures,US Movies","English, Spanish","Japan,Hong Kong,South Africa,Belgium,Thailand,Czech Republic,Netherlands,Australia,Singapore,Malaysia,Slovakia",1-2 hour,Sylvester Stallone,"Dave Callaham, Sylvester Stallone","Sylvester Stallone, Dolph Lundgren, Jason Statham, Jet Li",R,6.5,3,5,"$10,30,68,524",13-Aug-10,14-04-2015,"Nu Image, Millennium Films",https://www.netflix.com/watch/70117698,"A mercenary leads a ragtag band of hired guns charged with overthrowing a South American despot, a job no official military unit is willing to touch.",Movie,326216,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcK1QvsaRfI8lacuy6REDefyaHcHOsgTgroylimF1stb2POTkxWF6572egZ5Z3p6MuAOQ9RuESvndifR_7vtNJ1LLg.jpg?r=a44
Kevin Hart: Let Me Explain,"Documentary, Comedy","Stand-up Comedy,Comedies,Irreverent Stand-Up Comedy",English,"Russia,Lithuania,Hungary,Hong Kong,Japan,Romania,South Korea,Belgium,Switzerland,Portugal,Thailand,France,Czech Republic,Spain,Germany,India",1-2 hour,"Leslie Small, Tim Story",Kevin Hart,"Harry Ratchford, Kevin Hart, Joey Wells, Will 'Spank' Horton",R,6.8,1,1,"$3,22,44,051",03-Jul-13,14-04-2015,Code Black Films,https://www.netflix.com/watch/70270773,"Philadelphia funnyman Kevin Hart takes the stage in front of a sold-out crowd at Madison Square Garden, part of his hit Let Me Explain world tour.",Movie,8542,http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZxTbLPceTOlJsN8kwPnjQWgudhsfoxTtITCYbtBCL18so_IiLl2sIXXD-MgAedPKeKxZ7QRwe94kVn8YJKZ71pf-Q.jpg?r=65a
Elf,"Adventure, Comedy, Family, Fantasy, Romance","Family Features,Family Comedies,Children & Family Films,Films for ages 8 to 10,Comedies,Films for ages 5 to 7,Family Cozy Time",English,"Hungary,Romania,Portugal,Japan,Czech Republic,Spain,Poland,Slovakia,Sweden,Australia",1-2 hour,Jon Favreau,David Berenbaum,"Will Ferrell, Bob Newhart, Edward Asner, James Caan",PG,7,2,7,"$17,66,30,408",07-Nov-03,14-04-2015,"Guy Walks into a Bar Productions, Gold/Miller Productions, Shawn Danielle Production Services, Mosaic Media Group",https://www.netflix.com/watch/60031255,"Buddy the Elf doesnt fit in with the other North Pole elves, so he travels to New York to find his real father and spread some Christmas cheer.",Movie,231633,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSTYs9oRysogU3ecLIwTfIDg403fQgHCKAx4uJbPbpsAOlNqxwPUeFRxUHN-Nunw2XaYr-ZwTTctL6U_Sa1W0QIW4A.jpg?r=37d
Europa Report,"Action, Drama, Mystery, Sci-Fi, Thriller","Thrillers,Sci-Fi & Fantasy,Sci-Fi Thrillers,Alien Sci-Fi,Sci-Fi Adventure,Adventures,Action & Adventure","English, Russian, Chinese",India,1-2 hour,Sebastián Cordero,Philip Gelatt,"Karolina Wydra, Daniel Wu, Christian Camargo, Sharlto Copley",PG-13,6.4,1,2,"$1,25,687",27-Jun-13,14-04-2015,Wayfare Entertainment,https://www.netflix.com/watch/70276016,"When a private company sends six astronauts to learn whether one of Jupiters moons can sustain life, what they find terrifies and transforms them.",Movie,67522,https://occ-0-2042-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUDjWV2UzwXuOO-v9wu0yoaWprDON2Ews48mvPNTSbk0da9IAvp_pGYFMAcZTbXq8AGpNY49nHPe7rls6HfQNtsX7A.jpg?r=699
Enough,"Crime, Drama, Thriller","Thrillers,Crime Thrillers,Psychological Thrillers,Dramas,US Movies",English,"Belgium,France,Switzerland,United Kingdom,South Africa,Hong Kong,Thailand,Iceland,India,Netherlands,Germany,Australia,Singapore,Malaysia,Turkey",1-2 hour,Michael Apted,Nicholas Kazan,"Billy Campbell, Tessa Allen, Jennifer Lopez, Juliette Lewis",PG-13,5.8,,4,"$4,00,07,742",24-May-02,14-04-2015,"Winkler Films, Sony Pictures Entertainment",https://www.netflix.com/watch/60022967,"An abused wife realizes her husband isnt the wonderful man she once thought he was. When she escapes with her daughter, he pursues them relentlessly.",Movie,39896,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW6cO-OqBmBplLFX9vHibeBDPVWdM1Xecw_zbLUS4WtrLEHqweg4yMDmQK-vzhmoBgBFDSOZX_WrbMBklvx4g4ZnSw.jpg?r=418
Grave Encounters,"Horror, Mystery, Thriller","Horror Films,Thrillers,Supernatural Horror Films,Supernatural Thrillers",English,Japan,1-2 hour,"The Vicious Brothers, Colin Minihan, Stuart Ortiz","The Vicious Brothers, Colin Minihan, Stuart Ortiz","Ben Wilkinson, Sean Rogerson, Ashleigh Gryzko, Merwin Mondesir",NotRated,6.1,1,1,,09-Sep-11,14-04-2015,Digital Interference Productions,https://www.netflix.com/watch/70181720,"The stars of a paranormal-investigation TV show spend the night in a derelict hospital, hoping to uncover whats been going bump in the night.",Movie,53021,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWCDpmbrcsapda4iQHsQYpiD8Ll7IzFhQNhfwrmqk97NKj6Gd77LHjxEGnGmfJLAv-lnxHZorOYy-FAbhguPlZBfxg.jpg?r=fc8
